,name,country,review_count,review_date,experience_date,title,content,star_rating
0,Mariana Sanchez,CO,3,"Mar 18, 2025","March 18, 2025",I've great experiences with DK,"I've great experiences with DK, I'm on my 15th shipped package shipped with them and the only small complain I have is the photo service, I wish it'd be a bit better but other than that everything is great and they're always so attentive to everything!",5
1,Itzel Cuapa,MX,1,"Mar 13, 2025","March 12, 2025",This company is disgusting,This company is disgusting. They stole my merchandise worth more than 300 USD.,1
2,Catarina Ferreira,PT,4,"Mar 9, 2025","March 07, 2025",First and last purchase with them,"This was my first time working with DeliveredKorea and will probably be my last. Firstly everything went smooth I was buying the products, any questions I had they were really quickly to reply and after I asked for consolidation and shipment and it was done very fast. The problem happened when the package got stuck and customs. This is an almost 700€ package and there was missing paperwork which I asked DeliveredKorea for and for the first time they actually took quite a while to reply and did not provide the paperwork I asked for. I am being asked proof of payment but the payment platform they use does not provide a receipt after you paid which is the document I need. Long story short, the package will be returned to them, I will not be able to ship it again since I would have to pay for shipping again and it would once again get stuck in customs and I do not have enough documentation because DeliveredKorea does not provide. So basically DeliveredKorea will  get to keep all my items and money and I will lose 700€. DO NOT RECOMMEND AT ALL BE CAREFUL",1
3,Lauren,US,1,"Feb 22, 2025","January 20, 2025",Very easy to communicate and it feels…,Very easy to communicate and it feels like I have a personal shopper!  Fast and not bad on fees either.,5
4,buiing,IN,1,"Feb 18, 2025","February 17, 2025",my experience so far is pretty good,my experience so far is pretty good. I feel like maybe they could do better with photo request service cause I've seen some warehouses send pics of items upon arrival. other than that I'm satisfied with their service so far. checked shipping prices. they are reasonable too.,4
5,Camilla Kim,US,1,"Feb 12, 2025","February 09, 2025",So far so good,"So far so good, but we're only at the purchasing/storing stage. I'll update the review once my items have been consolidated and shipped.",4
6,Tay,ES,4,"Feb 4, 2025","February 03, 2025",No concern over loyal customers,"I have been using Delivered Korea's service for three years without an issue so I was surprised when they recently decided not to warn Spanish customers that the option to ship via K-packet was no longer available and also decided not to honor packages that had been requested to ship before the cutout date (that they didn't announce) with even a discount or coupon code. This meant my package containing two flat items that could easily be shipped as a standard letter ended up only with shipping options that started at $25. A ""sorry we didn't give you the positive response you were expecting"" e-mail is all I received in exchange of years of being a loyal customer. Quite disappointing, to say the least.",2
7,A,GB,2,"Jan 28, 2025","December 01, 2024",Amazing proxy service for delivery and buying,"What a great proxy service, allowing to get amazing Korean products delivered anywhere with ease. Collaboration with Bunjang makes it even better. Thank you for a fast and great value service.",5
8,rh,AU,6,"Jan 26, 2025","December 27, 2024",I have used delivered korea 4 times in…,I have used delivered korea 4 times in 2024 for delivery to Australia. Each time the process was smooth and delivery times were as expected.,5
9,Victoria,US,1,"Jan 24, 2025","January 23, 2025",100% recommend to everyone I know,"I have a great experience with Delivered Korea. I have been using their service for a little over a year now. Everytime I email customer service for help, I always get a quick reply. They also packed all my items very well for international shipping. If you want to buy anything online from South Korea, I recommend using their service!",5
